Electricity generated by fuel type; ktoe,Gas,Renewables,Coal,Peat,Oil,Wastes Non-Renewable,Net Positive Electricity Imports
2005,995.364,161.115152,549.454,210.7,287.24,0,175.7969
2006,1185.51,212.8282315,506.024,183.868,243.724,0,152.8974947
2007,1380.958787,240.9771513,467.5785783,185.9480067,163.2892699,0,114.4101011
2008,1437.586114,309.1997659,442.2002161,236.8745425,146.8928195,0,38.71861289
2009,1401.638184,354.1134843,344.3709839,226.1012315,78.93456105,0,65.68277855
2010,1557.524904,320.6751909,305.7055629,187.3898785,51.87435555,0,40.44803712
2011,1327.169071,466.429009,339.2504073,183.1609312,20.09690908,0,42.14817722
2012,1215.978919,452.0391294,432.0948691,209.6495925,20.27974005,4.278333168,35.55883289
2013,1129.158551,483.972804,368.299872,196.2076452,16.23942398,5.630418303,192.8285636
2014,1086.614043,549.6808655,340.2533336,214.6633809,22.24736987,5.985035553,184.818902
2015,1063.604259,676.0645785,419.1795188,216.5669628,35.00940629,6.36928174,57.90982
2016,1318.242594,646.0568586,403.8440934,199.338118,25.16511173,6.260816403,0
2017,1348.467538,763.745095,313.430299,186.1366384,12.20286584,13.6999308,0
2018,1377.200821,877.2619375,185.04973,179.8016182,11.98447811,25.93658746,0
2019,1367.93187,1014.378716,43.48391121,165.7311386,24.29659243,25.34169503,55.4304744
2020,1396.328791,1157.67676,57.88928934,79.00123087,33.48982121,25.7047416,0
2021,1303.375547,998.2700245,233.7075201,27.93774004,124.9720301,27.69607816,136.5330075
2022,1421.547872,1124.19083,203.5006968,21.26093829,92.46147534,27.45202832,21.663228
2023,1320.158024,1211.801681,104.1254356,13.05759867,19.57873597,28.08499044,281.6285774
